Conjunto,r,Valor de P
pH-N,0.636654,1.15E-06
pH-Dens,-0.5890264,1.06E-05
pH-P,0.5910303,9.74E-06
pH-Ca,0.8086293,3.61E-12
pH-Mg,-0.3957821,5.36E-03
pH-K,0.5795727,1.59E-05
pH-Na,-6932614,4.72E-08
